service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1045X,0,0,1,0,0,0,0,20180718,20180718
1046J,0,0,0,1,0,0,0,20180719,20180719
1047V,0,0,0,0,1,0,0,20180720,20180720
1048S,0,0,0,0,0,1,0,20180721,20180721
1049D,0,0,0,0,0,0,1,20180722,20180722
1050L,1,0,0,0,0,0,0,20180723,20180723
1051M,0,1,0,0,0,0,0,20180724,20180724
1052X,0,0,1,0,0,0,0,20180725,20180725
1053J,0,0,0,1,0,0,0,20180726,20180726
1054V,0,0,0,0,1,0,0,20180727,20180727
1055S,0,0,0,0,0,1,0,20180728,20180728
1056D,0,0,0,0,0,0,1,20180729,20180729
1057L,1,0,0,0,0,0,0,20180730,20180730
1058M,0,1,0,0,0,0,0,20180731,20180731
1059X,0,0,1,0,0,0,0,20180801,20180801
1060J,0,0,0,1,0,0,0,20180802,20180802
1061V,0,0,0,0,1,0,0,20180803,20180803
1062S,0,0,0,0,0,1,0,20180804,20180804
1063D,0,0,0,0,0,0,1,20180805,20180805
1064L,1,0,0,0,0,0,0,20180806,20180806
1065M,0,1,0,0,0,0,0,20180807,20180807
1066X,0,0,1,0,0,0,0,20180808,20180808
1067J,0,0,0,1,0,0,0,20180809,20180809
1068V,0,0,0,0,1,0,0,20180810,20180810
1069S,0,0,0,0,0,1,0,20180811,20180811
1070D,0,0,0,0,0,0,1,20180812,20180812
1071L,1,0,0,0,0,0,0,20180813,20180813
1072M,0,1,0,0,0,0,0,20180814,20180814
1073X,0,0,1,0,0,0,0,20180815,20180815
1074J,0,0,0,1,0,0,0,20180816,20180816
1075V,0,0,0,0,1,0,0,20180817,20180817
2045X,0,0,1,0,0,0,0,20180718,20180718
2046J,0,0,0,1,0,0,0,20180719,20180719
2047V,0,0,0,0,1,0,0,20180720,20180720
2048S,0,0,0,0,0,1,0,20180721,20180721
2049D,0,0,0,0,0,0,1,20180722,20180722
2050L,1,0,0,0,0,0,0,20180723,20180723
2051M,0,1,0,0,0,0,0,20180724,20180724
2052X,0,0,1,0,0,0,0,20180725,20180725
2053J,0,0,0,1,0,0,0,20180726,20180726
2054V,0,0,0,0,1,0,0,20180727,20180727
2055S,0,0,0,0,0,1,0,20180728,20180728
2056D,0,0,0,0,0,0,1,20180729,20180729
2057L,1,0,0,0,0,0,0,20180730,20180730
2058M,0,1,0,0,0,0,0,20180731,20180731
2059X,0,0,1,0,0,0,0,20180801,20180801
2060J,0,0,0,1,0,0,0,20180802,20180802
2061V,0,0,0,0,1,0,0,20180803,20180803
2062S,0,0,0,0,0,1,0,20180804,20180804
2063D,0,0,0,0,0,0,1,20180805,20180805
2064L,1,0,0,0,0,0,0,20180806,20180806
2065M,0,1,0,0,0,0,0,20180807,20180807
2066X,0,0,1,0,0,0,0,20180808,20180808
2067J,0,0,0,1,0,0,0,20180809,20180809
2068V,0,0,0,0,1,0,0,20180810,20180810
2069S,0,0,0,0,0,1,0,20180811,20180811
2070D,0,0,0,0,0,0,1,20180812,20180812
2071L,1,0,0,0,0,0,0,20180813,20180813
2072M,0,1,0,0,0,0,0,20180814,20180814
2073X,0,0,1,0,0,0,0,20180815,20180815
2074J,0,0,0,1,0,0,0,20180816,20180816
2075V,0,0,0,0,1,0,0,20180817,20180817
3045X,0,0,1,0,0,0,0,20180718,20180718
3046J,0,0,0,1,0,0,0,20180719,20180719
3047V,0,0,0,0,1,0,0,20180720,20180720
3048S,0,0,0,0,0,1,0,20180721,20180721
3049D,0,0,0,0,0,0,1,20180722,20180722
3050L,1,0,0,0,0,0,0,20180723,20180723
3051M,0,1,0,0,0,0,0,20180724,20180724
3052X,0,0,1,0,0,0,0,20180725,20180725
3053J,0,0,0,1,0,0,0,20180726,20180726
3054V,0,0,0,0,1,0,0,20180727,20180727
3055S,0,0,0,0,0,1,0,20180728,20180728
3056D,0,0,0,0,0,0,1,20180729,20180729
3057L,1,0,0,0,0,0,0,20180730,20180730
3058M,0,1,0,0,0,0,0,20180731,20180731
3059X,0,0,1,0,0,0,0,20180801,20180801
3060J,0,0,0,1,0,0,0,20180802,20180802
3061V,0,0,0,0,1,0,0,20180803,20180803
3062S,0,0,0,0,0,1,0,20180804,20180804
3063D,0,0,0,0,0,0,1,20180805,20180805
3064L,1,0,0,0,0,0,0,20180806,20180806
3065M,0,1,0,0,0,0,0,20180807,20180807
3066X,0,0,1,0,0,0,0,20180808,20180808
3067J,0,0,0,1,0,0,0,20180809,20180809
3068V,0,0,0,0,1,0,0,20180810,20180810
3069S,0,0,0,0,0,1,0,20180811,20180811
3070D,0,0,0,0,0,0,1,20180812,20180812
3071L,1,0,0,0,0,0,0,20180813,20180813
3072M,0,1,0,0,0,0,0,20180814,20180814
3073X,0,0,1,0,0,0,0,20180815,20180815
3074J,0,0,0,1,0,0,0,20180816,20180816
3075V,0,0,0,0,1,0,0,20180817,20180817
3145X,0,0,1,0,0,0,0,20180718,20180718
3146J,0,0,0,1,0,0,0,20180719,20180719
3147V,0,0,0,0,1,0,0,20180720,20180720
3148S,0,0,0,0,0,1,0,20180721,20180721
3149D,0,0,0,0,0,0,1,20180722,20180722
3150L,1,0,0,0,0,0,0,20180723,20180723
3151M,0,1,0,0,0,0,0,20180724,20180724
3152X,0,0,1,0,0,0,0,20180725,20180725
3153J,0,0,0,1,0,0,0,20180726,20180726
3154V,0,0,0,0,1,0,0,20180727,20180727
3155S,0,0,0,0,0,1,0,20180728,20180728
3156D,0,0,0,0,0,0,1,20180729,20180729
3157L,1,0,0,0,0,0,0,20180730,20180730
3158M,0,1,0,0,0,0,0,20180731,20180731
3159X,0,0,1,0,0,0,0,20180801,20180801
3160J,0,0,0,1,0,0,0,20180802,20180802
3161V,0,0,0,0,1,0,0,20180803,20180803
3162S,0,0,0,0,0,1,0,20180804,20180804
3163D,0,0,0,0,0,0,1,20180805,20180805
3164L,1,0,0,0,0,0,0,20180806,20180806
3165M,0,1,0,0,0,0,0,20180807,20180807
3166X,0,0,1,0,0,0,0,20180808,20180808
3167J,0,0,0,1,0,0,0,20180809,20180809
3168V,0,0,0,0,1,0,0,20180810,20180810
3169S,0,0,0,0,0,1,0,20180811,20180811
3170D,0,0,0,0,0,0,1,20180812,20180812
3171L,1,0,0,0,0,0,0,20180813,20180813
3172M,0,1,0,0,0,0,0,20180814,20180814
3173X,0,0,1,0,0,0,0,20180815,20180815
3174J,0,0,0,1,0,0,0,20180816,20180816
3175V,0,0,0,0,1,0,0,20180817,20180817
3245X,0,0,1,0,0,0,0,20180718,20180718
3246J,0,0,0,1,0,0,0,20180719,20180719
3247V,0,0,0,0,1,0,0,20180720,20180720
3248S,0,0,0,0,0,1,0,20180721,20180721
3249D,0,0,0,0,0,0,1,20180722,20180722
3250L,1,0,0,0,0,0,0,20180723,20180723
3251M,0,1,0,0,0,0,0,20180724,20180724
3252X,0,0,1,0,0,0,0,20180725,20180725
3253J,0,0,0,1,0,0,0,20180726,20180726
3254V,0,0,0,0,1,0,0,20180727,20180727
3255S,0,0,0,0,0,1,0,20180728,20180728
3256D,0,0,0,0,0,0,1,20180729,20180729
3257L,1,0,0,0,0,0,0,20180730,20180730
3258M,0,1,0,0,0,0,0,20180731,20180731
3259X,0,0,1,0,0,0,0,20180801,20180801
3260J,0,0,0,1,0,0,0,20180802,20180802
3261V,0,0,0,0,1,0,0,20180803,20180803
3262S,0,0,0,0,0,1,0,20180804,20180804
3263D,0,0,0,0,0,0,1,20180805,20180805
3264L,1,0,0,0,0,0,0,20180806,20180806
3265M,0,1,0,0,0,0,0,20180807,20180807
3266X,0,0,1,0,0,0,0,20180808,20180808
3267J,0,0,0,1,0,0,0,20180809,20180809
3268V,0,0,0,0,1,0,0,20180810,20180810
3269S,0,0,0,0,0,1,0,20180811,20180811
3270D,0,0,0,0,0,0,1,20180812,20180812
3271L,1,0,0,0,0,0,0,20180813,20180813
3272M,0,1,0,0,0,0,0,20180814,20180814
3273X,0,0,1,0,0,0,0,20180815,20180815
3274J,0,0,0,1,0,0,0,20180816,20180816
3275V,0,0,0,0,1,0,0,20180817,20180817
4045X,0,0,1,0,0,0,0,20180718,20180718
4046J,0,0,0,1,0,0,0,20180719,20180719
4047V,0,0,0,0,1,0,0,20180720,20180720
4048S,0,0,0,0,0,1,0,20180721,20180721
4049D,0,0,0,0,0,0,1,20180722,20180722
4050L,1,0,0,0,0,0,0,20180723,20180723
4051M,0,1,0,0,0,0,0,20180724,20180724
4052X,0,0,1,0,0,0,0,20180725,20180725
4053J,0,0,0,1,0,0,0,20180726,20180726
4054V,0,0,0,0,1,0,0,20180727,20180727
4055S,0,0,0,0,0,1,0,20180728,20180728
4056D,0,0,0,0,0,0,1,20180729,20180729
4057L,1,0,0,0,0,0,0,20180730,20180730
4058M,0,1,0,0,0,0,0,20180731,20180731
4059X,0,0,1,0,0,0,0,20180801,20180801
4060J,0,0,0,1,0,0,0,20180802,20180802
4061V,0,0,0,0,1,0,0,20180803,20180803
4062S,0,0,0,0,0,1,0,20180804,20180804
4063D,0,0,0,0,0,0,1,20180805,20180805
4064L,1,0,0,0,0,0,0,20180806,20180806
4065M,0,1,0,0,0,0,0,20180807,20180807
4066X,0,0,1,0,0,0,0,20180808,20180808
4067J,0,0,0,1,0,0,0,20180809,20180809
4068V,0,0,0,0,1,0,0,20180810,20180810
4069S,0,0,0,0,0,1,0,20180811,20180811
4070D,0,0,0,0,0,0,1,20180812,20180812
4071L,1,0,0,0,0,0,0,20180813,20180813
4072M,0,1,0,0,0,0,0,20180814,20180814
4073X,0,0,1,0,0,0,0,20180815,20180815
4074J,0,0,0,1,0,0,0,20180816,20180816
4075V,0,0,0,0,1,0,0,20180817,20180817
4145X,0,0,1,0,0,0,0,20180718,20180718
4146J,0,0,0,1,0,0,0,20180719,20180719
4147V,0,0,0,0,1,0,0,20180720,20180720
4148S,0,0,0,0,0,1,0,20180721,20180721
4149D,0,0,0,0,0,0,1,20180722,20180722
4150L,1,0,0,0,0,0,0,20180723,20180723
4151M,0,1,0,0,0,0,0,20180724,20180724
4152X,0,0,1,0,0,0,0,20180725,20180725
4153J,0,0,0,1,0,0,0,20180726,20180726
4154V,0,0,0,0,1,0,0,20180727,20180727
4155S,0,0,0,0,0,1,0,20180728,20180728
4156D,0,0,0,0,0,0,1,20180729,20180729
4157L,1,0,0,0,0,0,0,20180730,20180730
4158M,0,1,0,0,0,0,0,20180731,20180731
4159X,0,0,1,0,0,0,0,20180801,20180801
4160J,0,0,0,1,0,0,0,20180802,20180802
4161V,0,0,0,0,1,0,0,20180803,20180803
4162S,0,0,0,0,0,1,0,20180804,20180804
4163D,0,0,0,0,0,0,1,20180805,20180805
4164L,1,0,0,0,0,0,0,20180806,20180806
4165M,0,1,0,0,0,0,0,20180807,20180807
4166X,0,0,1,0,0,0,0,20180808,20180808
4167J,0,0,0,1,0,0,0,20180809,20180809
4168V,0,0,0,0,1,0,0,20180810,20180810
4169S,0,0,0,0,0,1,0,20180811,20180811
4170D,0,0,0,0,0,0,1,20180812,20180812
4171L,1,0,0,0,0,0,0,20180813,20180813
4172M,0,1,0,0,0,0,0,20180814,20180814
4173X,0,0,1,0,0,0,0,20180815,20180815
4174J,0,0,0,1,0,0,0,20180816,20180816
4175V,0,0,0,0,1,0,0,20180817,20180817
5045X,0,0,1,0,0,0,0,20180718,20180718
5046J,0,0,0,1,0,0,0,20180719,20180719
5047V,0,0,0,0,1,0,0,20180720,20180720
5048S,0,0,0,0,0,1,0,20180721,20180721
5049D,0,0,0,0,0,0,1,20180722,20180722
5050L,1,0,0,0,0,0,0,20180723,20180723
5051M,0,1,0,0,0,0,0,20180724,20180724
5052X,0,0,1,0,0,0,0,20180725,20180725
5053J,0,0,0,1,0,0,0,20180726,20180726
5054V,0,0,0,0,1,0,0,20180727,20180727
5055S,0,0,0,0,0,1,0,20180728,20180728
5056D,0,0,0,0,0,0,1,20180729,20180729
5057L,1,0,0,0,0,0,0,20180730,20180730
5058M,0,1,0,0,0,0,0,20180731,20180731
5059X,0,0,1,0,0,0,0,20180801,20180801
5060J,0,0,0,1,0,0,0,20180802,20180802
5061V,0,0,0,0,1,0,0,20180803,20180803
5062S,0,0,0,0,0,1,0,20180804,20180804
5063D,0,0,0,0,0,0,1,20180805,20180805
5064L,1,0,0,0,0,0,0,20180806,20180806
5065M,0,1,0,0,0,0,0,20180807,20180807
5066X,0,0,1,0,0,0,0,20180808,20180808
5067J,0,0,0,1,0,0,0,20180809,20180809
5068V,0,0,0,0,1,0,0,20180810,20180810
5069S,0,0,0,0,0,1,0,20180811,20180811
5070D,0,0,0,0,0,0,1,20180812,20180812
5071L,1,0,0,0,0,0,0,20180813,20180813
5072M,0,1,0,0,0,0,0,20180814,20180814
5073X,0,0,1,0,0,0,0,20180815,20180815
5074J,0,0,0,1,0,0,0,20180816,20180816
5075V,0,0,0,0,1,0,0,20180817,20180817
6045X,0,0,1,0,0,0,0,20180718,20180718
