stop_id,stop_name,stop_lat,stop_lon
04040,Zaragoza-delicias,41.658649,-0.911605
06001,Librilla,37.886527,-1.346925
06002,Alhama De Murcia,37.849449,-1.414517
06003,Totana,37.763514,-1.495667
06004,La Hoya,37.703745,-1.595378
06005,Lorca San Diego,37.680710,-1.685667
06006,Lorca Sutullena,37.671671,-1.696293
06007,Puerto Lumbreras,37.580992,-1.731969
06008,Alcantarilla-los Romanos,37.964277,-1.216988
06100,Almendricos,37.475105,-1.778896
07001,Pulpí,37.399082,-1.74939
07003,Jaravia,37.392327,-1.693011
07004,Aguilas,37.409848,-1.572528
07007,Aguilas-el Labradorico,37.411896,-1.585915
10000,Príncipe Pío,40.421264,-3.720095
10001,Aravaca,40.448417,-3.785455
10002,Pozuelo,40.44726,-3.800102
10005,Las Rozas,40.494215,-3.868133
10007,Majadahonda,40.474271,-3.845378
10010,El Barrial-Centro Comercial,40.465029,-3.807933
10100,Pinar De Las Rozas,40.522196,-3.882311
10101,Las Matas,40.552414,-3.896711
10103,Torrelodones,40.574518,-3.956501
10104,Galapagar La Navata,40.600134,-3.982014
10200,Villalba De Guadarrama,40.626559,-4.008128
10201,San Yago,40.617837,-4.031173
10202,Las Zorreras - Navalquejigo,40.609501,-4.046214
10203,El Escorial,40.585278,-4.132534
10204,Zarzalejo,40.538710,-4.158180
10205,Robledo De Chavela,40.520802,-4.246774
10206,Santa Maria De La Alameda,40.568937,-4.269332
11305,Brinkola-oñati,43.018976,-2.334686
11306,Legazpì,43.051027,-2.330673
11400,Zumárraga,43.087327,-2.319864
11402,Ormaiztegi,43.040238,-2.256449
11404,Beasain,43.046232,-2.202303
11405,Ordizia,43.052769,-2.179204
11406,Itsasondo,43.068435,-2.162579
11407,Legorreta,43.085702,-2.140945
11408,Ikaztegieta,43.094007,-2.125533
11409,Alegia De Oria,43.101731,-2.097191
11500,Tolosa,43.135478,-2.079042
11501,Tolosa Centro,43.139368,-2.074105
11502,Anoeta,43.162618,-2.070429
11503,Billabona Zizurkil,43.189184,-2.055365
11504,Andoain-centro,43.215536,-2.020422
11505,Andoain,43.222253,-2.015272
11506,Urnieta,43.247508,-1.988442
11507,Hernani Centro,43.265645,-1.973391
11508,Hernani,43.272538,-1.963817
11509,Martutene,43.299080,-1.956148
11510,Loiola,43.304512,-1.963361
11511,San Sebastián-donostia,43.317669,-1.976704
11512,Gros,43.321831,-1.973848
11513,Ategorrieta,43.320299,-1.959869
11514,Herrera,43.319355,-1.937014
11515,Pasaia,43.31891,-1.917165
11516,Lezo-rentería,43.315905,-1.899412
11518,Ventas De Irun,43.330432,-1.816816
11522,Intxaurrondo,43.3199,-1.951259
11600,Irun,43.339582,-1.800192
12001,Los Negrales,40.638542,-4.021874
12002,Alpedrete,40.658099,-4.034981
12004,Collado-mediano,40.692752,-4.035787
12005,Los Molinos,40.706606,-4.067170
12006,Cercedilla,40.737541,-4.066387
12020,Puerto De Navacerrada,40.784522,-4.004699
12023,Cotos,40.822400,-3.964414
13100,Orduña,42.994670,-3.015828
13101,Amurrio,43.049010,-3.002119
13102,Salbio,43.074135,-2.999386
13103,Luiaondo,43.093554,-2.999662
13104,Santa Cruz Llodio,43.132815,-2.96986
13106,Llodio,43.142364,-2.960652
13107,Areta,43.145051,-2.943459
13108,Arbide,43.163096,-2.927991
13109,Arrankudiaga,43.169827,-2.918115
13110,Ugao-miraballes,43.179023,-2.902821
13111,Arrigorriaga,43.210009,-2.888589
13112,Basauri,43.223389,-2.882221
13113,Bidebieta - Basauri,43.236904,-2.889611
13114,Ollargan,43.242417,-2.916521
13115,Bakiola,43.176981,-2.909102
13116,Iñarratxu,43.035813,-3.003876
13117,Arakaldo,43.153364,-2.938328
13118,Abaroa - San Miguel,43.225602,-2.887083
