stop_id,stop_name,stop_lat,stop_lon
71600,Sant Vicenç De Calders,41.186167,1.524797
71601,Calafell,41.189651,1.574993
71602,Segur De Calafell,41.192562,1.606431
71603,Cunit,41.195036,1.631876
71604,Cubelles,41.20434,1.675957
71700,Vilanova I La Geltrú,41.220389,1.730722
71701,Sitges,41.23879,1.809633
71703,Garraf,41.253964,1.902357
71704,Platja Castelldefels,41.266842,1.957181
71705,Castelldefels,41.278755,1.979093
71706,Gavá,41.303417,2.010444
71707,El Prat De Llobregat,41.330626,2.089908
71708,Bellvitge,41.353714,2.115315
71709,Viladecans,41.309407,2.027700
71801,Sants,41.379520,2.140624
71802,Passeig De Gracia,41.392281,2.164896
72201,El Vendrell,41.221184,1.537743
72202,L' Arboç,41.273025,1.60012
72203,Els Monjos,41.314752,1.659853
72204,Vilafranca Del Penedès,41.344811,1.703112
72205,La Granada,41.371016,1.725036
72206,Lavern-subirats,41.395657,1.768182
72207,Sant Sadurní D'anoia,41.420588,1.794639
72208,Gelida,41.448531,1.865498
72209,Martorell,41.478787,1.926459
72210,Castellbisbal,41.47274,1.968605
72211,El Papiol,41.435393,2.002647
72300,Molins De Rei,41.409844,2.02057
72301,Sant Feliu De Llobregat,41.382935,2.047834
72302,Sant Joan D'espi,41.36854,2.060147
72303,Cornellà,41.357469,2.070566
72305,L' Hospitalet De Llobregat,41.364075,2.100711
72400,Aeroport,41.303844,2.072180
72501,Rubí,41.475178,2.0371
72502,Sant Cugat Del Valles,41.480973,2.079731
72503,Cerdanyola Universitat,41.497107,2.115482
77002,Montcada-ripollet,41.496841,2.181941
77003,Santa Perpétua De Mogoda,41.521686,2.194315
77004,Mollet-santa Rosa,41.536597,2.206189
77005,Parets Del Valles,41.556292,2.225992
77006,Granollers-canovelles,41.611416,2.277008
77100,Les Franqueses De Vallés,41.629722,2.295206
77102,La Garriga,41.684469,2.288748
77103,Figaro,41.720987,2.271625
77104,Sant Martí De Centelles,41.760583,2.24893
77105,Centelles,41.799375,2.222478
77106,Balenyá Els-hostalets,41.814938,2.233315
77107,Balenya-tona-seva,41.841868,2.247519
77109,Vic,41.931034,2.248904
78600,Manresa,41.720393,1.827185
78604,Sant Vicent De Castellet,41.668851,1.862649
78605,Castellbell I El Vilar Monistrol,41.628400,1.868550
78606,Vacarisses,41.601891,1.894388
78607,Vacarisses Torreblanca,41.586759,1.916921
78609,Viladecavalls,41.563853,1.957144
78610,Sant Miquel De Gonteres Viladecavalls,41.568855,1.974213
78700,Terrasa,41.569576,2.014348
78703,Sabadell Sud,41.528716,2.105395
78704,Sabadell Centro,41.547892,2.115053
78705,Barberá Del Vallés,41.513615,2.118535
78706,Cerdanyola Del Vallès,41.492627,2.14743
78707,Montcada I Reixac-santa Maria,41.481154,2.167067
78708,Montcada I Reixac-manresa,41.483951,2.185351
78709,Sabadell Nord,41.562401,2.09591
78710,Terrasa Est.,41.567515,2.039406
78800,Montcada Bifurcación,41.469591,2.179853
78801,Torre Del Barò,41.461354,2.180421
78802,Sant Andreu Arenal,41.430851,2.183104
78804,Arc De Triomf,41.391646,2.180271
78805,Plaça Catalunya,41.38737,2.168856
78806,La Sagrera Meridiana,41.421958,2.187115
79004,Sant Adreu Comtal,41.436083,2.193097
79005,Montcada I Reix,41.483833,2.188193
79006,Mollet-Sant Fost,41.533579,2.21757
79007,Montmeló,41.550409,2.247082
79009,El Clot Aragó,41.409188,2.187148
79011,La Llagosta,41.510473,2.199768
79100,Granollers-Centre,41.599705,2.291087
79101,Cardedeu,41.636719,2.356203
79102,Llinars Del Vallès,41.638096,2.404551
79103,Palautordera,41.671557,2.453814
79104,Sant Celóni,41.685877,2.490554
79105,Gualba,41.718171,2.538617
79106,Riells I Viabrea-breda,41.726687,2.56843
79107,Hostalric,41.747722,2.631483
79109,Les Franqueses Granollers Nord,41.617129,2.294434
79200,Macanet-Massanes,41.773056,2.673572
79400,Estació De França,41.384535,2.18519
79403,Sant Adriá De Besos,41.424665,2.230761
79404,Badalona,41.445921,2.248893
79405,Montgat,41.463019,2.272098
79406,Montgat Nord,41.468822,2.286755
79407,El Masnou,41.477136,2.310702
79408,Ocata,41.479051,2.319648
79409,Premiá De Mar,41.48764,2.354698
79410,Vilassar De Mar,41.500454,2.389473
79412,Cabrera-vilasar De Mar,41.506858,2.401591
79500,Mataró,41.530395,2.441068
79501,Sant Andreu De Llavaneres,41.555722,2.498462
79502,Caldes D`estrac,41.56864,2.525984
79600,Arenys De Mar,41.5777,2.549343
79601,Canet De Mar,41.586716,2.58121
79602,Sant Pol De Mar,41.601811,2.624584
79603,Calella,41.614589,2.665716
79604,Pineda De Mar,41.622396,2.693517
79605,Malgrat De Mar,41.641776,2.741529
79606,Blanes,41.673451,2.769265
79607,Tordera,41.707242,2.719304
