route_id,service_id,trip_id,trip_headsign
10T0006C2  ,1045X,1045X17403C2,
10T0006C2  ,1045X,1045X21419C2,
10T0006C2  ,1045X,1045X21601C2,
10T0006C2  ,1045X,1045X21603C2,
10T0006C2  ,1045X,1045X21605C2,
10T0006C2  ,1045X,1045X21607C2,
10T0006C2  ,1045X,1045X21611C2,
10T0006C2  ,1045X,1045X21613C2,
10T0006C2  ,1045X,1045X21617C2,
10T0006C2  ,1045X,1045X21619C2,
10T0006C2  ,1045X,1045X21623C2,
10T0006C2  ,1045X,1045X21627C2,
10T0006C2  ,1045X,1045X21629C2,
10T0006C2  ,1045X,1045X21631C2,
10T0006C2  ,1045X,1045X21633C2,
10T0006C2  ,1045X,1045X21635C2,
10T0006C2  ,1045X,1045X21637C2,
10T0006C2  ,1045X,1045X21639C2,
10T0006C2  ,1045X,1045X21643C2,
10T0006C2  ,1045X,1045X21647C2,
10T0006C2  ,1045X,1045X21651C2,
10T0006C2  ,1045X,1045X21665C2,
10T0006C2  ,1045X,1045X21671C2,
10T0006C2  ,1045X,1045X21673C2,
10T0006C2  ,1045X,1045X21675C2,
10T0006C2  ,1045X,1045X21677C2,
10T0006C2  ,1045X,1045X27005C2,
10T0006C2  ,1045X,1045X27007C2,
10T0006C2  ,1045X,1045X27201C2,
10T0006C2  ,1045X,1045X27203C2,
10T0006C2  ,1045X,1045X27205C2,
10T0006C2  ,1045X,1045X27209C2,
10T0006C2  ,1045X,1045X27215C2,
10T0006C2  ,1045X,1045X27217C2,
10T0006C2  ,1045X,1045X27219C2,
10T0006C2  ,1045X,1045X27221C2,
10T0006C2  ,1045X,1045X27223C2,
10T0006C2  ,1045X,1045X27225C2,
10T0006C2  ,1045X,1045X27227C2,
10T0006C2  ,1045X,1045X27229C2,
10T0006C2  ,1045X,1045X27231C2,
10T0006C2  ,1045X,1045X27233C2,
10T0006C2  ,1045X,1045X27235C2,
10T0006C2  ,1045X,1045X27237C2,
10T0006C2  ,1045X,1045X27239C2,
10T0006C2  ,1045X,1045X27241C2,
10T0006C2  ,1045X,1045X27243C2,
10T0006C2  ,1045X,1045X27245C2,
10T0006C2  ,1045X,1045X27247C2,
10T0006C2  ,1045X,1045X27249C2,
10T0006C2  ,1046J,1046J17403C2,
10T0006C2  ,1046J,1046J21419C2,
10T0006C2  ,1046J,1046J21601C2,
10T0006C2  ,1046J,1046J21603C2,
10T0006C2  ,1046J,1046J21605C2,
10T0006C2  ,1046J,1046J21607C2,
10T0006C2  ,1046J,1046J21611C2,
10T0006C2  ,1046J,1046J21613C2,
10T0006C2  ,1046J,1046J21617C2,
10T0006C2  ,1046J,1046J21619C2,
10T0006C2  ,1046J,1046J21623C2,
10T0006C2  ,1046J,1046J21627C2,
10T0006C2  ,1046J,1046J21629C2,
10T0006C2  ,1046J,1046J21631C2,
10T0006C2  ,1046J,1046J21633C2,
10T0006C2  ,1046J,1046J21635C2,
10T0006C2  ,1046J,1046J21637C2,
10T0006C2  ,1046J,1046J21639C2,
10T0006C2  ,1046J,1046J21643C2,
10T0006C2  ,1046J,1046J21647C2,
10T0006C2  ,1046J,1046J21651C2,
10T0006C2  ,1046J,1046J21665C2,
10T0006C2  ,1046J,1046J21671C2,
10T0006C2  ,1046J,1046J21673C2,
10T0006C2  ,1046J,1046J21675C2,
10T0006C2  ,1046J,1046J21677C2,
10T0006C2  ,1046J,1046J27005C2,
10T0006C2  ,1046J,1046J27007C2,
10T0006C2  ,1046J,1046J27201C2,
10T0006C2  ,1046J,1046J27203C2,
10T0006C2  ,1046J,1046J27205C2,
10T0006C2  ,1046J,1046J27209C2,
10T0006C2  ,1046J,1046J27215C2,
10T0006C2  ,1046J,1046J27217C2,
10T0006C2  ,1046J,1046J27219C2,
10T0006C2  ,1046J,1046J27221C2,
10T0006C2  ,1046J,1046J27223C2,
10T0006C2  ,1046J,1046J27225C2,
10T0006C2  ,1046J,1046J27227C2,
10T0006C2  ,1046J,1046J27229C2,
10T0006C2  ,1046J,1046J27231C2,
10T0006C2  ,1046J,1046J27233C2,
10T0006C2  ,1046J,1046J27235C2,
10T0006C2  ,1046J,1046J27237C2,
10T0006C2  ,1046J,1046J27239C2,
10T0006C2  ,1046J,1046J27241C2,
10T0006C2  ,1046J,1046J27243C2,
10T0006C2  ,1046J,1046J27245C2,
10T0006C2  ,1046J,1046J27247C2,
10T0006C2  ,1046J,1046J27249C2,
10T0006C2  ,1047V,1047V17403C2,
10T0006C2  ,1047V,1047V21419C2,
10T0006C2  ,1047V,1047V21601C2,
10T0006C2  ,1047V,1047V21603C2,
10T0006C2  ,1047V,1047V21605C2,
10T0006C2  ,1047V,1047V21607C2,
10T0006C2  ,1047V,1047V21611C2,
10T0006C2  ,1047V,1047V21613C2,
10T0006C2  ,1047V,1047V21617C2,
10T0006C2  ,1047V,1047V21619C2,
10T0006C2  ,1047V,1047V21623C2,
10T0006C2  ,1047V,1047V21627C2,
10T0006C2  ,1047V,1047V21629C2,
10T0006C2  ,1047V,1047V21631C2,
10T0006C2  ,1047V,1047V21633C2,
10T0006C2  ,1047V,1047V21635C2,
10T0006C2  ,1047V,1047V21637C2,
10T0006C2  ,1047V,1047V21639C2,
10T0006C2  ,1047V,1047V21643C2,
10T0006C2  ,1047V,1047V21647C2,
10T0006C2  ,1047V,1047V21651C2,
10T0006C2  ,1047V,1047V21665C2,
10T0006C2  ,1047V,1047V21671C2,
10T0006C2  ,1047V,1047V21673C2,
10T0006C2  ,1047V,1047V21675C2,
10T0006C2  ,1047V,1047V21677C2,
10T0006C2  ,1047V,1047V27005C2,
10T0006C2  ,1047V,1047V27007C2,
10T0006C2  ,1047V,1047V27201C2,
10T0006C2  ,1047V,1047V27203C2,
10T0006C2  ,1047V,1047V27205C2,
10T0006C2  ,1047V,1047V27209C2,
10T0006C2  ,1047V,1047V27215C2,
10T0006C2  ,1047V,1047V27217C2,
10T0006C2  ,1047V,1047V27219C2,
10T0006C2  ,1047V,1047V27221C2,
10T0006C2  ,1047V,1047V27223C2,
10T0006C2  ,1047V,1047V27225C2,
10T0006C2  ,1047V,1047V27227C2,
10T0006C2  ,1047V,1047V27229C2,
10T0006C2  ,1047V,1047V27231C2,
10T0006C2  ,1047V,1047V27233C2,
10T0006C2  ,1047V,1047V27235C2,
10T0006C2  ,1047V,1047V27237C2,
10T0006C2  ,1047V,1047V27239C2,
10T0006C2  ,1047V,1047V27241C2,
10T0006C2  ,1047V,1047V27243C2,
10T0006C2  ,1047V,1047V27245C2,
10T0006C2  ,1047V,1047V27247C2,
10T0006C2  ,1047V,1047V27249C2,
10T0006C2  ,1048S,1048S21607C2,
10T0006C2  ,1048S,1048S21613C2,
10T0006C2  ,1048S,1048S21619C2,
10T0006C2  ,1048S,1048S21627C2,
10T0006C2  ,1048S,1048S21629C2,
10T0006C2  ,1048S,1048S21631C2,
10T0006C2  ,1048S,1048S21633C2,
10T0006C2  ,1048S,1048S21641C2,
10T0006C2  ,1048S,1048S21647C2,
10T0006C2  ,1048S,1048S21651C2,
10T0006C2  ,1048S,1048S21665C2,
10T0006C2  ,1048S,1048S21671C2,
10T0006C2  ,1048S,1048S21673C2,
10T0006C2  ,1048S,1048S21675C2,
10T0006C2  ,1048S,1048S21677C2,
10T0006C2  ,1048S,1048S27203C2,
10T0006C2  ,1048S,1048S27205C2,
10T0006C2  ,1048S,1048S27209C2,
10T0006C2  ,1048S,1048S27213C2,
10T0006C2  ,1048S,1048S27215C2,
10T0006C2  ,1048S,1048S27217C2,
10T0006C2  ,1048S,1048S27219C2,
10T0006C2  ,1048S,1048S27221C2,
10T0006C2  ,1048S,1048S27223C2,
10T0006C2  ,1048S,1048S27225C2,
10T0006C2  ,1048S,1048S27227C2,
10T0006C2  ,1048S,1048S27231C2,
10T0006C2  ,1048S,1048S27233C2,
10T0006C2  ,1048S,1048S27235C2,
10T0006C2  ,1048S,1048S27237C2,
10T0006C2  ,1048S,1048S27239C2,
10T0006C2  ,1048S,1048S27241C2,
10T0006C2  ,1048S,1048S27243C2,
10T0006C2  ,1048S,1048S27245C2,
10T0006C2  ,1048S,1048S27247C2,
10T0006C2  ,1048S,1048S27249C2,
10T0006C2  ,1048S,1048S35007C2,
10T0006C2  ,1049D,1049D21607C2,
10T0006C2  ,1049D,1049D21613C2,
10T0006C2  ,1049D,1049D21619C2,
